,Unnamed: 0,budget,homepage,id,imdb_id,revenue,runtime,language,description,popularity,title,rating,votes,year,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8
104,104,0,,844396,tt7339862,0,87,en,group teens small town come across strange object tests loyalties increasingly destructive consequences deeper game go ,287.607,The Friendship Game,5.6,20,2022,Horror,ScienceFiction,,,,,,
105,105,40000000,https://www.thefabelmans.movie,804095,tt14208870,11140986,151,en,"growing post world war ii era arizona, young sammy fabelman aspires become filmmaker reaches adolescence, soon discovers shattering family secret explores power films help see truth ",281.935,The Fabelmans,8.0,236,2022,Comedy,Drama,,,,,,
106,106,0,,856245,tt14042038,0,89,es,"emilia arrives aunt inés' hostel located argentina brazil border, looking missing brother  lush jungle dangerous beast takes form different animals seems roaming around ",275.323,To Kill the Beast,5.1,57,2022,Fantasy,Mystery,Thriller,,,,,
108,108,0,,744276,tt13070038,12467270,95,en,"shocking truth couple's families emerges, two lovers discover different other  tessa longer sweet, simple, good girl met hardin   cruel, moody boy fell hard for ",273.49,After Ever Happy,7.0,671,2022,Drama,Romance,,,,,,
109,109,0,https://www.netflix.com/title/81334950,1054513,tt23782662,0,89,tr,"posing private tutor, azra secretly coaches students achieving goals life love   without bumps road ",271.854,Private Lesson,6.9,25,2022,Comedy,Romance,,,,,,
110,110,0,,934957,tt10231726,0,100,en,"strange, supernatural murders suddenly become talk peaceful town, two detectives must solve deadly game, myth game reveal secrets close home ",270.446,The Darker the Lake,3.8,6,2022,Crime,Mystery,Thriller,,,,,
112,112,0,,846778,tt14967618,0,105,en,"group seniors celebrate final college days smart house, house's highly advanced ai system, margaux, begins take deadly presence own  carefree weekend partying turns dystopian nightmare realize margaux's plans eliminate tenants one way another  time begins run group desperately tries survive outsmart smart home ",267.09,Margaux,6.9,57,2022,Horror,ScienceFiction,,,,,,
115,115,0,https://www.netflix.com/title/80218885,779782,tt2935622,0,146,en,best friends sophie agatha navigate enchanted school young heroes villains   find opposing sides battle good evil ,259.478,The School for Good and Evil,7.2,757,2022,Action,Drama,Fantasy,,,,,
116,116,0,https://fandpmovie.com/,899294,tt4459134,0,112,en,tale love violence man emotional last legs finds savior seductively dancing run down strip club  life certainly headed cliff suddenly becomes redirected   everything worth dying for ,257.867,Frank and Penelope,7.7,54,2022,Crime,Horror,Thriller,,,,,
119,119,70000000,https://www.focusfeatures.com/the-northman,639933,tt11138512,69633110,137,en,"prince amleth verge becoming man father brutally murdered uncle, kidnaps boy's mother  two decades later, amleth viking who's mission save mother, kill uncle avenge father ",253.0,The Northman,7.1,2869,2022,Action,Adventure,Fantasy,,,,,
121,121,0,,896485,tt15713012,0,119,fr,"captain sara bellaiche, toulouse judiciary police branch, investigating go fast linked murder two teenagers, investigation led richard cross, paris criminal brigade  forced collaborate order find murderer stop bloody go fast, sara richard thrown breathless race clock roads spain france ",249.231,Overdose,6.6,111,2022,Action,Crime,Thriller,,,,,
122,122,40000000,https://www.lionsgate.com/movies/knives-out,546554,tt8946378,309232797,131,en,"renowned crime novelist harlan thrombey found dead estate 85th birthday, inquisitive debonair detective benoit blanc mysteriously enlisted investigate  harlan's dysfunctional family devoted staff, blanc sifts web red herrings self serving lies uncover truth behind harlan's untimely death ",245.816,Knives Out,7.9,9843,2019,Comedy,Crime,Mystery,,,,,
124,124,17000000,https://www.theblackphonemovie.com/,756999,tt7144666,161000000,103,en,"finney blake, shy clever 13 year old boy, abducted sadistic killer trapped soundproof basement screaming little use  disconnected phone wall begins ring, finney discovers hear voices killer’s previous victims  dead set making sure happened doesn’t happen finney ",232.478,The Black Phone,7.8,3278,2022,Horror,Thriller,,,,,,
